成果类型,文件名称,相对路径,说明
CSV表格,校园生活圈便利度统计结果.csv,outputs\tables\校园生活圈便利度统计结果.csv,基于模拟数据自动生成
CSV表格,校园生活点综合可达性分析结果.csv,outputs\tables\校园生活点综合可达性分析结果.csv,基于模拟数据自动生成
CSV表格,校园生活服务短板识别与优化建议.csv,outputs\tables\校园生活服务短板识别与优化建议.csv,基于模拟数据自动生成
CSV表格,主要短板设施统计.csv,outputs\tables\主要短板设施统计.csv,基于模拟数据自动生成
CSV表格,候选点到生活点距离表.csv,outputs\tables\候选点到生活点距离表.csv,基于模拟数据自动生成
CSV表格,新增服务设施候选点评分结果.csv,outputs\tables\新增服务设施候选点评分结果.csv,基于模拟数据自动生成
CSV表格,最优候选点.csv,outputs\tables\最优候选点.csv,基于模拟数据自动生成
GeoJSON空间数据,POI点_校园生活圈空间连接结果.geojson,outputs\geojson\POI点_校园生活圈空间连接结果.geojson,基于模拟数据自动生成
GeoJSON空间数据,校园生活圈便利度统计结果.geojson,outputs\geojson\校园生活圈便利度统计结果.geojson,基于模拟数据自动生成
GeoJSON空间数据,校园生活点综合可达性分析结果.geojson,outputs\geojson\校园生活点综合可达性分析结果.geojson,基于模拟数据自动生成
GeoJSON空间数据,校园生活服务短板识别与优化建议.geojson,outputs\geojson\校园生活服务短板识别与优化建议.geojson,基于模拟数据自动生成
GeoJSON空间数据,新增服务设施候选点.geojson,outputs\geojson\新增服务设施候选点.geojson,基于模拟数据自动生成
PNG图片,campus_poi_distribution.png,outputs\figures\campus_poi_distribution.png,基于模拟数据自动生成
PNG图片,life_circle_500m.png,outputs\figures\life_circle_500m.png,基于模拟数据自动生成
PNG图片,convenience_index_map.png,outputs\figures\convenience_index_map.png,基于模拟数据自动生成
PNG图片,accessibility_index_map.png,outputs\figures\accessibility_index_map.png,基于模拟数据自动生成
PNG图片,candidate_points_map.png,outputs\figures\candidate_points_map.png,基于模拟数据自动生成
PNG图片,candidate_score_bar.png,outputs\figures\candidate_score_bar.png,基于模拟数据自动生成
Markdown报告,校园生活服务设施可达性与优化分析报告.md,outputs\reports\校园生活服务设施可达性与优化分析报告.md,基于模拟数据自动生成
Markdown报告,project_report.md,docs\project_report.md,基于模拟数据自动生成
Markdown报告,README.md,README.md,基于模拟数据自动生成
